rep,gen,indType,indNum,quality,fitness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,Sender,11,1,0,-0.243515,0.427492,-0.228093,0.166922,-0.699907,-0.913286,-0.681417,-0.756363,-0.179578,-0.304828,0.341957,-0.58338,0.908691,0.523401,-0.555605,-0.849836,0.480383,-0.824047,-0.552961,-0.857865,0.450052,0.366709,0.35387,-0.909432,-0.827063,0.93218,0.749478,0.442894,0.883651,0.142129,-0.537468,1.06656,0.676152,-0.233698,-0.917004,-0.956233,-0.106808,0.842523,0.473722
1,0,Sender,12,1,0,-0.223485,0.432388,-0.236678,0.169953,-0.823015,-0.951628,-0.71054,-0.749054,-0.00751594,-0.183133,0.325611,-0.550476,0.906577,1.07194,-0.627889,-0.915356,0.48214,-0.912585,-0.612826,-0.834696,0.476088,0.228934,0.339971,-0.924144,-0.822561,0.894988,0.651616,0.421805,0.958229,0.120078,-0.44481,0.894404,0.690016,-0.249284,-0.913606,-0.983566,-0.119751,0.800193,0.571961
1,0,Sender,13,1,0,-0.251432,0.449897,-0.0422772,-0.0278374,-0.791928,-0.958784,-0.74386,-0.749054,0.0122035,-0.3643,0.266297,-0.621268,0.906577,0.495031,-0.555605,-0.829722,0.486561,-0.894205,-0.530772,-0.79858,0.496356,0.359231,0.354234,-0.920795,-0.793169,0.894988,0.701927,0.426416,0.924729,0.117891,-0.452472,0.884046,0.591804,-0.249612,-0.947282,-1.47328,-0.113855,0.832303,0.559683
1,0,Sender,14,1,0,-0.229247,0.388642,-0.228363,0.143788,-0.783407,-0.951628,-0.71054,-0.794371,-0.00263203,-0.194613,0.347907,-0.526283,0.906861,0.533007,-0.649557,-0.943148,0.489905,-0.906288,-0.748842,-0.880485,0.373384,0.360446,0.346397,-0.924144,-0.859092,0.976719,0.662084,0.440565,0.971184,0.110638,-0.526327,0.911105,0.676534,-0.249612,-0.955971,-0.964,-0.11632,0.850871,0.489752
1,0,Sender,15,1,0,-0.184669,0.388642,-0.243086,0.157454,-0.783407,-0.948996,-0.707258,-0.802102,-0.00263203,-0.184986,0.347907,-0.534209,0.906577,0.533007,-0.649557,-0.943148,0.482965,-0.906288,-0.754146,-0.878502,0.391442,0.366709,0.346397,-0.924144,-0.890079,0.976719,0.662084,0.440565,0.971184,0.110638,-0.51781,0.91187,0.659588,-1.61148,-0.955971,-0.964,-0.11632,0.850871,0.486387
1,0,Sender,16,1,0,-0.264493,0.429727,-0.244683,0.224792,-0.792005,-0.918669,-0.783636,-0.748743,0.117617,-0.414711,0.363641,-0.592278,0.921878,0.526926,-0.555605,-0.851464,0.569156,-0.89858,-0.537047,-0.850377,0.497755,0.366709,0.373637,-0.882743,-0.861904,0.957092,0.643661,0.415931,0.925272,0.116782,-0.648662,0.89726,0.676534,-0.256896,-0.917004,-1.01446,-0.0767794,0.861175,0.576044
1,0,Sender,17,1,0,-0.229247,0.429727,-0.269773,0.162625,-0.789645,-0.947754,-0.775518,-0.804278,-0.00751594,-0.183133,0.325611,-0.550476,0.906577,1.07194,-0.627889,-0.915356,0.48214,-0.910259,-0.672159,-0.838263,0.476088,0.228936,0.339971,-0.924144,-0.822561,0.901821,0.651616,0.427157,0.199246,0.120078,-0.576936,0.894404,0.690016,-0.249284,-0.922411,-0.985567,-0.149454,0.800193,0.6373
1,0,Sender,18,1,0,-0.229247,0.43803,-0.243086,0.0730063,-0.76607,-0.951628,-0.632409,-0.742557,0.0300683,-0.307023,0.365854,-0.550476,0.93123,0.520035,-0.570862,-1.13609,0.478827,-0.88056,-0.61399,-0.878502,0.389308,0.366709,0.339824,-0.973915,-0.840427,0.973674,0.648837,0.373417,0.94109,0.110638,-0.575736,0.891782,0.668818,-0.264845,-0.926267,-1.54293,-0.112545,0.873542,0.48549
1,0,Sender,19,1,0,-0.229247,0.429727,-0.243086,0.210957,-0.772381,-0.92289,-0.687691,-0.749054,0.00835649,-0.292573,0.365854,-0.553126,0.904637,0.526926,-0.581864,-0.923442,0.604409,-0.940706,-0.621629,-0.878502,0.348438,0.383957,0.255616,-0.924901,-0.905016,0.984334,0.664597,0.430035,0.986888,0.110638,-0.640087,0.908862,0.654162,-0.249612,-0.914683,-0.952364,-0.11632,0.922896,0.48549
1,0,Sender,20,1,0,-0.229247,0.450705,-0.243086,0.161667,-0.763748,-0.960688,-0.705551,-0.716773,0.0356456,-0.279036,0.388878,-0.522705,0.899659,0.533007,-0.63312,-0.943148,0.482965,-0.881613,-0.713187,-0.878502,0.35198,0.366709,0.346397,-0.924144,-0.832683,0.973674,0.680507,0.414246,0.923838,0.110638,-0.560794,0.908862,0.676534,-0.262831,-0.915403,-1.18391,-0.11632,0.873542,0.500714
1,0,Sender,21,1,0,-0.317246,0.530623,-0.227111,0.147792,-0.600343,-0.951628,-0.732351,-0.751952,-0.00529719,-0.380678,0.357202,-0.580943,0.897569,0.474929,-0.48052,-1.01818,0.489809,-0.894683,-0.525648,-0.95308,0.481533,0.44097,0.0910463,-0.920795,-0.740058,0.853514,0.653584,0.42738,0.930306,0.146598,-0.568252,0.896221,0.71914,-0.249612,-0.889213,-0.934233,-0.113068,0.863466,0.581702
1,0,Sender,22,1,0,-0.229247,0.388642,-0.228363,0.132373,-0.783407,-0.951628,-0.71054,-0.794371,-0.00263203,-0.194613,0.347907,-0.526283,0.906861,0.571982,-0.649557,-0.943148,0.482965,-0.906288,-0.748842,-0.878502,0.377289,0.394885,0.350449,-0.924144,-0.859092,0.970595,0.633482,0.440565,0.915799,0.170754,-0.51781,0.91456,0.676534,-0.584178,-0.955971,-0.964,-0.11632,0.850871,0.486387
1,0,Sender,23,1,0,-0.239998,0.429727,-0.243086,-0.534773,-0.83904,-0.92289,-0.71054,-0.749054,0.0380476,-0.292573,0.35439,-0.550476,0.908033,0.529273,-0.525174,-0.915356,0.604409,-0.965486,-0.706169,-0.878502,0.395171,0.383957,0.26292,-0.924901,-0.848299,0.968115,0.664597,0.427157,0.912898,0.111905,-0.575736,1.00433,0.676534,-0.00239154,-0.914683,-0.97724,-0.127166,1.0539,0.513425
1,0,Sender,24,1,0,-0.236807,0.438871,-0.268469,0.161227,-0.699907,-0.951628,-0.784205,-0.749054,-0.007377,-0.304828,0.341957,-0.580859,0.908192,0.523401,-0.555605,-0.800692,0.472243,-0.989364,-0.505236,-0.849174,0.457634,0.366709,0.351362,-0.909432,-0.828061,0.91664,0.671981,0.408459,0.898859,0.138768,-0.522746,1.06656,0.6278,-0.233698,-0.917004,-0.964,-0.113855,0.842523,0.471458
1,0,Sender,25,1,0,-0.229247,0.450705,-0.243086,0.161667,-0.763748,-0.960688,-0.705551,-0.716773,0.0356456,-0.279036,0.388878,-0.522705,0.899659,0.533007,-0.63312,-0.943148,0.482965,-0.881613,-0.713187,-0.878502,0.35198,0.366709,0.346397,-0.924144,-0.832683,0.973674,0.680507,0.414246,0.923838,0.110638,-0.560794,0.908862,0.676534,-0.262831,-0.915403,-1.18391,-0.11632,0.873542,0.500714
1,0,Sender,26,1,0,-0.251432,0.449897,-0.0422772,-0.0278374,-0.791928,-0.958784,-0.74386,-0.749054,0.334006,-0.3643,0.266297,-0.580859,0.906577,0.497512,-0.555605,-0.829722,0.486561,-0.906288,-0.530772,-0.79858,0.481533,0.367127,0.354234,-0.920795,-0.793169,0.894988,0.701927,0.426416,0.924729,0.117891,-0.452472,0.864878,0.685255,-0.280591,-0.947282,-1.47328,-0.113855,0.832303,0.559565
