rep,gen,indType,indNum,quality,fitness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,Sender,23,1,0,-0.0221099,-0.0326903,-0.0827561,-0.651018,-0.521297,-0.910927,-0.763194,-0.425821,-0.895263,0.988216,0.617007,0.612376,0.284049,-1.80154,0.666111,0.63908,0.169905,-0.162076,0.909176,-0.303721,-0.298539,-0.537315,0.102481,-0.0541298,0.237287,0.0656397,0.112429,-0.499484,-0.257082,0.82127,-0.880215,-0.156208,0.487988,-0.921576,0.320251,-0.520341,0.29356,-0.709933,0.491997
1,0,Sender,24,1,0,-0.00558614,-0.022635,-0.0748525,-0.651018,-0.52571,-0.919445,-0.763194,-0.436439,-0.895488,0.988216,0.611847,0.607612,0.244085,-0.536163,0.666111,0.641797,0.184016,-0.155917,0.909176,-0.261574,-0.27298,-0.539957,0.156559,-0.10694,0.212103,0.0633034,-0.0282197,-0.391299,-0.244898,0.875883,-0.931623,-0.156208,0.467789,-1.06396,0.323484,-0.509755,0.29872,-0.719001,0.58432
1,0,Sender,25,1,0,-0.0477378,-0.022635,-0.066599,-0.647855,-0.547813,-0.910309,-0.763194,-0.417976,-0.901499,0.988216,0.617007,0.602889,0.281653,-0.536163,0.679642,0.63908,0.164577,-0.157674,0.909176,-0.253511,-0.298083,-0.537315,0.0787088,0.0135608,0.215558,0.0633034,-0.0179738,-0.499484,-0.244898,0.956526,-0.886861,-0.134507,0.465581,-0.919343,0.2478,-0.509755,0.29356,-0.683464,0.58432
1,0,Sender,26,1,0,-0.0807685,-0.0728798,-0.102811,-0.652205,-0.673088,-0.910309,-0.702081,-0.430094,-0.895263,1.01182,0.616345,0.697512,0.244085,-0.536163,0.736239,0.685864,0.190818,-0.149135,0.909176,-0.316411,-0.181154,-0.537315,0.0905517,-0.0259247,0.221862,0.0633034,-0.0489495,-0.321849,-0.23844,0.59814,-0.904814,-0.156208,0.480297,-1.09777,0.320251,-0.528987,0.29356,-0.729572,0.580715
1,0,Sender,27,1,0,-0.0098106,-0.034755,-0.0827561,-0.651018,-0.606074,-0.910927,-0.763194,-0.425821,-0.895263,0.988216,0.617007,0.615247,0.24243,-0.522126,0.654391,0.63908,0.181344,-0.149135,0.909176,-0.267543,-0.298539,-0.461534,0.102481,-0.0673953,0.237287,0.0633034,0.112429,-0.499484,-0.257082,0.884384,-0.880215,-0.163058,0.487988,-0.922229,0.403241,-0.509755,0.29356,-0.719001,0.577565
1,0,Sender,28,1,0,-0.0129768,-0.0421103,-0.0649736,-0.626831,-0.518414,-0.896071,-0.770135,-0.436536,-0.898575,0.988216,0.617007,0.586262,0.244085,-0.536163,0.666708,0.66994,0.16982,-0.161821,0.867393,-0.0195522,-0.27298,-0.533366,0.102481,-0.0388341,0.210498,0.0607635,-0.0179738,-0.492475,-0.252572,0.927633,-0.897723,-0.207997,0.547854,-0.919343,0.273636,-0.429052,0.312211,-0.735258,0.58432
1,0,Sender,29,1,0,-0.018061,-0.022635,-0.076077,-0.626831,-0.514148,-0.896071,-0.763194,-0.425821,-0.899146,0.988216,0.601502,0.607612,0.239713,-0.536163,0.666708,0.63908,0.184016,-0.159691,0.909176,-0.0106596,-0.27298,-0.531383,0.102481,-0.0388341,0.209087,0.0622837,-0.0179738,-0.48614,-0.271448,0.912853,-0.883824,-0.151211,0.494133,-1.00248,0.273636,-0.514019,0.29356,-0.672289,0.519462
1,0,Sender,30,1,0,-0.0206305,-0.0421103,-0.0561742,-0.626831,-0.518414,-0.896071,-0.763194,-0.436536,-0.903008,0.988216,0.60986,0.581505,0.244085,-0.521449,0.666708,0.6763,0.229585,-0.149135,0.893748,-0.0198274,-0.271199,-0.537315,0.102481,-0.0221282,0.212103,0.0550984,-0.0129412,-0.492475,-0.252572,0.927633,-0.883824,-0.156208,0.487988,-0.92711,0.280765,-0.443186,0.29356,-1.07926,0.58432
1,0,Sender,31,1,0,-0.0147121,-0.0384415,-0.095181,-0.641739,-0.518414,-0.896071,-0.763194,-0.435735,-0.882349,0.991016,0.617007,0.607612,0.240308,-0.536163,0.666708,0.633786,0.16718,-0.146995,0.909176,-0.0316414,-0.27298,-0.537315,0.045896,-0.0388341,0.212103,0.0550984,-0.0179738,-0.499936,-0.392582,0.927633,-0.883824,-0.156208,0.487988,-0.919343,0.209943,-0.429052,0.430053,-0.781045,0.586229
1,0,Sender,32,1,0,-0.0403762,-0.0205452,-0.0756043,-0.651018,-0.52571,-0.931279,-0.763194,-0.43812,-0.799616,1.00885,0.824685,0.604811,0.244085,-0.539581,0.661825,0.645593,0.184016,-0.159083,0.897649,-0.265479,-0.216748,-0.536372,0.0904501,0.0346457,0.212103,0.0855291,-0.00533467,-0.554856,-0.230373,0.83908,-0.883824,-0.168662,0.473416,-0.914259,0.318455,-0.509755,0.29356,-0.703278,0.58432
