"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
-6.31084,-0.0601885,0.36398,-99.5692,-99.1529,-3.46344,1.46389,-0.401189,-95.8237,77.2958,-1.95498,21.3594,94.6234,6.65984,-7.00681,-71.8865,3.23419,-1.98679,2.22173,1.35029,-46.8602,-55.1738,15.8977,97.6306,21.7848,-25.8608,-21.5346,31.2637,99.6598,57.1198,-89.5355,13.3635,11.0432,99.1914,41.3167,-63.6572,-26.2336,42.5948,-98.779
-6.30766,-0.0601885,0.401475,-99.5725,-99.209,-3.47338,1.47953,-0.400055,-95.8341,77.2958,-1.84092,21.3594,94.6192,6.88514,-6.99802,-71.8886,3.23124,-1.99824,2.22173,1.35029,-46.8652,-55.14,16.2191,97.6377,21.7739,-25.863,-21.5403,31.245,99.8333,56.7852,-89.5479,13.3088,10.9843,99.1914,41.3758,-63.4377,-26.2336,42.5,-98.775
-6.30766,-0.0601885,0.401475,-99.5673,-99.1479,-3.53414,1.58862,-0.418938,-95.8347,77.2791,-1.97972,21.3545,94.6234,6.65984,-7.00977,-71.9053,3.23096,-1.99824,2.22325,1.3474,-46.8652,-55.14,15.8956,97.6369,21.7983,-25.863,-21.5403,31.2637,99.7221,56.7852,-89.5355,13.3556,10.9843,99.1912,41.3536,-63.4377,-26.2336,42.5621,-98.774
-6.06866,-0.0544015,0.340981,-90.367,-99.3436,-3.45556,1.54979,-3.95265,-95.9689,77.2814,-0.383786,21.2601,88.1843,7.14801,-6.72516,-78.4767,3.30439,-2.43585,2.26009,1.2688,-46.5424,-54.3748,16.0662,98.9716,21.7314,-25.6442,-22.2065,31.2773,99.766,57.2411,-89.8385,13.3469,11.1833,99.7076,41.3903,-63.3287,-26.123,42.8029,-98.9615
-6.06866,-0.0508954,0.340981,-90.367,-99.3436,-3.45556,1.54979,-3.95265,-95.9504,77.2814,-0.383786,21.2601,88.1843,7.14801,-6.72516,-78.4733,3.30439,-2.45444,2.26009,1.2688,-46.5424,-54.351,16.0662,98.9716,21.7314,-25.64,-22.2065,31.2773,99.766,57.2411,-89.8385,13.3469,11.1833,99.7076,41.3979,-63.3287,-26.1167,42.8029,-98.9615
-6.28926,-0.0472697,0.378503,-99.5979,-99.125,-3.50313,1.48054,-0.397781,-95.8493,77.2957,-2.18106,21.3218,94.6955,6.68214,-6.99317,-71.9072,3.28444,-2.0189,2.21157,1.39752,-46.8833,-55.1546,15.8609,97.6426,21.7621,-25.392,-21.5056,31.2452,99.762,56.7881,-89.5268,13.4324,11.1486,99.2596,41.3469,-63.4352,-26.2356,42.5832,-98.8972
-6.30206,-0.0786101,0.25792,-98.5962,-99.1391,-3.50495,1.50915,-0.370417,-95.673,75.5886,-1.78519,21.2236,94.2871,6.51364,-6.94735,-71.9255,3.2368,-2.00109,2.20946,1.19445,-46.8271,-55.2598,15.7431,97.6968,21.4351,-25.7378,-21.2818,31.3937,99.8091,56.7762,-89.4959,13.3983,11.0164,99.2284,41.3309,-62.7109,-26.139,42.5883,-98.5759
-6.2925,-0.0601885,0.354341,-99.5814,-99.1567,-3.54195,1.46389,-0.401189,-95.8058,77.2906,-1.95498,21.3594,94.6445,6.6565,-7.00522,-71.5622,3.23419,-1.9981,2.23815,1.35029,-46.8553,-55.1676,15.906,97.6346,21.7848,-25.7373,-21.5769,31.2637,99.6774,57.1198,-89.5232,13.3635,11.0432,99.2002,41.3623,-63.4377,-26.2523,42.5944,-98.8207
-6.28926,-0.0472697,0.401475,-99.5979,-99.1204,-3.50313,1.48496,-0.373162,-95.8493,77.2957,-2.19484,21.3549,94.6955,6.68214,-6.99317,-71.9088,3.28239,-2.00958,2.21157,1.40032,-46.85,-55.1464,15.8234,97.6473,21.7621,-25.3847,-21.5056,31.2452,99.762,56.7881,-89.5717,13.4324,11.1486,99.2549,41.3469,-63.4352,-26.2569,42.5832,-98.8249
-6.30766,-0.0601885,0.401475,-99.5673,-99.1479,-3.53414,1.58862,-0.418938,-95.8237,77.2791,-1.97972,21.3545,94.6234,6.65984,-7.00977,-71.9053,3.2416,-1.99824,2.22325,1.34475,-46.8574,-55.14,15.9962,97.6369,21.7983,-25.8171,-21.5403,31.2637,99.7221,56.7869,-89.5355,13.3556,10.9843,99.1912,41.3536,-63.4377,-26.2336,42.5621,-98.774
-6.32443,-0.0601885,0.401475,-99.5692,-99.1252,-3.47338,1.47732,-0.400055,-95.8341,77.2958,-2.00427,21.3607,94.6234,6.83091,-7.00786,-71.8886,3.23096,-1.94893,2.22173,1.35029,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5575,31.25,99.8333,56.7852,-89.5113,13.3572,10.9843,98.6157,41.3536,-63.4377,-26.2538,42.5621,-98.723
